epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.813932,0.163492,1.784835,0.140741,0.001
2,1.787399,0.173016,1.771542,0.166667,0.001
3,1.780529,0.157937,1.771496,0.181481,0.001
4,1.772738,0.183333,1.765594,0.188889,0.001
5,1.768765,0.187302,1.765275,0.211111,0.001
6,1.764235,0.201587,1.759846,0.225926,0.001
7,1.759425,0.213492,1.749351,0.196296,0.001
8,1.751081,0.218254,1.739816,0.211111,0.001
9,1.732314,0.240476,1.726868,0.244444,0.001
10,1.705602,0.280952,1.693563,0.3,0.001
11,1.709712,0.269048,1.658242,0.340741,0.001
12,1.682405,0.281746,1.64558,0.322222,0.001
13,1.652401,0.295238,1.62179,0.344444,0.001
14,1.632117,0.306349,1.603789,0.340741,0.001
15,1.620736,0.300794,1.653802,0.277778,0.001
16,1.626945,0.321429,1.588159,0.348148,0.001
17,1.602618,0.330159,1.568434,0.362963,0.001
18,1.592892,0.325397,1.566679,0.37037,0.001
19,1.562928,0.349206,1.537103,0.425926,0.001
20,1.533862,0.365079,1.503614,0.403704,0.001
