epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.788565,0.176984,1.769518,0.174074,0.01
2,1.765063,0.194444,1.755043,0.196296,0.01
3,1.754048,0.21746,1.744566,0.311111,0.01
4,1.734725,0.228571,1.72298,0.244444,0.01
5,1.72112,0.248413,1.709231,0.314815,0.01
6,1.696531,0.276984,1.690673,0.288889,0.01
7,1.671867,0.288889,1.667556,0.285185,0.01
8,1.660219,0.311111,1.650305,0.311111,0.01
9,1.651663,0.315873,1.649409,0.274074,0.01
10,1.598066,0.338889,1.597035,0.314815,0.01
11,1.581026,0.343651,1.558089,0.414815,0.01
12,1.570375,0.324603,1.517176,0.433333,0.01
13,1.520763,0.363492,1.585356,0.318519,0.01
14,1.578796,0.353968,1.505552,0.42963,0.01
15,1.500612,0.366667,1.480029,0.481481,0.01
16,1.513694,0.384127,1.509476,0.340741,0.01
17,1.512539,0.353175,1.634105,0.303704,0.01
18,1.501612,0.389683,1.484152,0.477778,0.01
19,1.52979,0.339683,1.45121,0.451852,0.01
20,1.483864,0.381746,1.427718,0.477778,0.01
